SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
22.04.2020 10:01:30.878;22.04.2020 10:01:14.000;101.5;12984;32843;;;;;;
22.04.2020 10:01:30.925;22.04.2020 10:01:14.000;101.5;13511;32843;;;;;;
22.04.2020 10:01:31.112;22.04.2020 10:01:14.000;101.5;13815;32843;;;;;;
22.04.2020 10:01:31.581;22.04.2020 10:01:14.000;101.5;13814;32843;;;;;;
22.04.2020 10:01:31.690;22.04.2020 10:01:14.000;101.5;14013;32843;;;;;;
22.04.2020 10:01:31.894;22.04.2020 10:01:14.000;101.5;14013;32893;;;;;;
22.04.2020 10:01:32.253;22.04.2020 10:01:14.000;101.5;13981;32893;;;;;;
22.04.2020 10:01:32.253;22.04.2020 10:01:14.000;101.5;13989;32893;;;;;;
22.04.2020 10:01:35.285;22.04.2020 10:01:14.000;101.5;13981;32893;;;;;;
22.04.2020 10:01:35.316;22.04.2020 10:01:14.000;101.5;13997;32893;;;;;;
22.04.2020 10:01:36.285;22.04.2020 10:01:14.000;101.5;13997;32882;;;;;;
22.04.2020 10:01:36.363;22.04.2020 10:01:14.000;101.5;13997;32888;;;;;;
22.04.2020 10:01:40.552;22.04.2020 10:01:14.000;101.5;13997;32889;;;;;;
